time_s,protocol,sequence,node_id,status_hex,status_bits,quat_w,quat_x,quat_y,quat_z,yaw_deg,yaw_unwrapped_deg,pitch_deg,roll_deg,imu0_accel_x_mg,imu0_accel_y_mg,imu0_accel_z_mg,imu0_gyro_x_dps,imu0_gyro_y_dps,imu0_gyro_z_dps,imu1_accel_x_mg,imu1_accel_y_mg,imu1_accel_z_mg,imu1_gyro_x_dps,imu1_gyro_y_dps,imu1_gyro_z_dps,guided_test_active,guided_test_step,guided_test_step_label,guided_test_step_status,guided_test_elapsed_s,guided_test_target_node,guided_test_target_label,guided_test_error_deg,guided_test_reference_node,guided_test_reference_label,palm_ref_quat_w,palm_ref_quat_x,palm_ref_quat_y,palm_ref_quat_z,palm_live_quat_w,palm_live_quat_x,palm_live_quat_y,palm_live_quat_z,relative_to_palm_quat_w,relative_to_palm_quat_x,relative_to_palm_quat_y,relative_to_palm_quat_z,relative_to_palm_yaw_deg,relative_to_palm_pitch_deg,relative_to_palm_roll_deg,raw_frame_hex
0.000,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.007700,-0.998300,-0.057100,0.000000,6.546,6.546,-0.050,-179.119,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038900,-0.000300,0.026778,0.997293,0.057628,0.036989,6.732,-4.054,176.685,b6 00 00 00 00 00 00 4d 00 01 d9 c5 fd 00 00 07 14 be
0.001,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.998700,0.032300,0.038800,-0.000300,0.110,0.110,4.446,3.709,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038800,-0.000300,1.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,b6 00 00 00 00 00 00 03 27 43 01 84 01 fd ff 07 00 e6
0.002,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.264200,0.013200,0.001800,-0.964300,-149.349,-149.349,1.513,0.201,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038800,-0.000300,0.264668,0.042068,-0.039600,-0.962607,-149.083,3.441,5.663,b6 00 00 00 00 00 00 52 0a 84 00 12 00 55 da 07 32 74
0.003,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.861300,-0.029000,-0.004900,0.507100,60.935,60.935,1.202,-3.149,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038800,-0.000300,0.858986,-0.076464,-0.021944,0.505782,60.805,2.272,-8.840,b6 00 00 00 00 00 00 a5 21 de fe cf ff cf 13 07 1e 51
0.004,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.909400,-0.012500,0.017800,-0.415200,-49.098,-49.098,1.260,-2.151,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038800,-0.000300,0.908710,-0.025755,-0.030925,-0.415484,-49.095,-4.451,-1.213,b6 00 00 00 00 00 00 86 23 83 ff b2 00 c8 ef 07 28 63
0.006,fused,,20,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.007700,-0.998300,-0.057100,0.000000,6.546,6.546,-0.050,-179.119,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038800,-0.000300,0.026772,0.997297,0.057628,0.036890,6.731,-4.042,176.687,b6 00 00 00 00 00 00 4d 00 01 d9 c5 fd 00 00 07 14 be
0.007,fused,,0,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.998700,0.032300,0.038900,-0.000300,0.110,0.110,4.457,3.709,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038900,-0.000300,1.000000,0.000000,-0.000000,0.000000,0.000,-0.000,-0.000,b6 00 00 00 00 00 00 03 27 43 01 85 01 fd ff 07 00 e7
0.008,fused,,50,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.264200,0.013200,0.001700,-0.964300,-149.349,-149.349,1.510,0.212,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038900,-0.000300,0.264663,0.042164,-0.039726,-0.962599,-149.082,3.448,5.680,b6 00 00 00 00 00 00 52 0a 84 00 11 00 55 da 07 32 77
0.009,fused,,30,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.861300,-0.029000,-0.004900,0.507100,60.935,60.935,1.202,-3.149,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038900,-0.000300,0.858982,-0.076514,-0.022030,0.505777,60.805,2.267,-8.850,b6 00 00 00 00 00 00 a5 21 de fe cf ff cf 13 07 1e 51
0.010,fused,,40,0x07,"IMU0_OK, IMU1_OK, FUSION_READY",0.909400,-0.012600,0.017800,-0.415200,-49.098,-49.098,1.256,-2.161,,,,,,,,,,,,,0,,,Not running,,,,,,,,,,,0.998700,0.032300,0.038900,-0.000300,0.908704,-0.025813,-0.031016,-0.415487,-49.095,-4.463,-1.215,b6 00 00 00 00 00 00 86 23 82 ff b2 00 c8 ef 07 28 62
